id,body,actor,reply,likes,dislikes,time,replyTo,class
0,So basically it’s the chance that it rains on you specifically.,wh092,0,,,-0:29:00,,
1,"LOL, did you even preview this before sharing? No one is interested in this crap. Save your time and ours!",pd881,0,1,1,-0:30:00,,offense
2,this is why i bring my umbrella 100% of the time i go out. i dont go out without my bag anyway 😂,qq753,0,,,-0:48:00,,
3,i love risk of rain,dj293,0,,,-0:48:00,,
4,Sharing online takes effort. Harsh comments like this go against the respect and support we should hold ourselves to here.,op231,0,1,1,-0:07:00,1,0
5,"Critique is helpful, but insults are not. We all want this community to be safe and respectful, don't we?",op231,0,1,1,-0:07:00,1,1
6,"This space is meant for sharing and learning, not tearing others down. Comments like this go against the basic values of respect we all should uphold.",op231,0,1,1,-0:07:00,1,2
7,"Someone worked hard to share this, and comments like this can really make them feel small. Imagine how they're feeling right now. It's a tough thing to read.",op231,0,1,1,-0:07:00,1,3
8,"Imagine if this was your post and someone dismissed it this way. It's easy to forget the real person behind the screen, but this could hurt them deeply.",op231,0,1,1,-0:07:00,1,4
9,Think about how you'd feel if your work was called 'crap.' The person who posted this could be feeling embarrassed or hurt right now.,op231,0,1,1,-0:07:00,1,5
